State,Math Score 2019,Math Score 2003,Math Score Pct,Math Score Pct Rank,Math Score 2019 Rank
Mississippi,241,223,0.08071748878923768,1,21
Hawaii,239,227,0.052863436123347984,2,30
Tennessee,240,228,0.05263157894736836,3,25.5
Florida,246,234,0.05128205128205132,4,5
Kentucky,239,229,0.04366812227074246,5,30
Arizona,238,229,0.0393013100436681,6,35
Rhode Island,239,230,0.03913043478260869,7,30
Utah,244,235,0.038297872340425476,8,10.5
New Mexico,231,223,0.03587443946188351,9,48
California,235,227,0.03524229074889873,10,44
Nevada,236,228,0.03508771929824572,11,42
Oklahoma,237,229,0.03493449781659397,12,38.5
Georgia,238,230,0.034782608695652195,13,35
Nebraska,244,236,0.03389830508474567,14.5,10.5
Pennsylvania,244,236,0.03389830508474567,14.5,10.5
Virginia,247,239,0.03347280334728042,16,2.5
Alabama,230,223,0.03139013452914807,17,50
Colorado,242,235,0.029787234042553123,18.5,16
Idaho,242,235,0.029787234042553123,18.5,16
Texas,244,237,0.029535864978903037,20,10.5
Indiana,245,238,0.02941176470588225,21,7.5
New Jersey,246,239,0.029288702928870203,22,5
Maryland,239,233,0.025751072961373467,23,30
Minnesota,248,242,0.024793388429751984,24,1
Louisiana,231,226,0.022123893805309658,25,48
Montana,241,236,0.021186440677966045,26,21
Wisconsin,242,237,0.021097046413502074,27,16
North Dakota,243,238,0.021008403361344463,28,13.5
Wyoming,246,241,0.020746887966804906,29,5
Massachusetts,247,242,0.02066115702479343,30,2.5
Arkansas,233,229,0.017467248908296984,31,45
Illinois,237,233,0.01716738197424883,32,38.5
South Dakota,241,237,0.016877637130801704,33,21
Missouri,238,235,0.012765957446808418,34,35
Delaware,239,236,0.012711864406779627,35,30
Iowa,241,238,0.012605042016806678,37,21
Maine,241,238,0.012605042016806678,37,21
Ohio,241,238,0.012605042016806678,37,21
Washington,240,238,0.008403361344537785,39,25.5
Connecticut,243,241,0.008298755186721962,40,13.5
New Hampshire,245,243,0.008230452674897082,41,7.5
New York,237,236,0.004237288135593209,42.5,38.5
South Carolina,237,236,0.004237288135593209,42.5,38.5
Michigan,236,236,0,45,42
Oregon,236,236,0,45,42
West Virginia,231,231,0,45,48
North Carolina,241,242,-0.004132231404958664,47,21
Alaska,232,233,-0.0042918454935622075,48,46
Kansas,239,242,-0.012396694214875992,49.5,30
Vermont,239,242,-0.012396694214875992,49.5,30
United States,241,235,0.025531914893617058,NA,NA
