Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2007,Arizona,0.05499298847913048,0.5249805488537935,0.05499298847913048,0.5249805488537935
2008,Arizona,0.06371363548431686,0.5754768542329332,0.06371363548431686,0.5754768542329332
2009,Arizona,0.0699469637017045,0.6163307706917491,0.0699469637017045,0.6163307706917491
2010,Arizona,0.08975671497818927,0.4595545487700279,0.08975671497818927,0.4595545487700279
2011,Arizona,0.07519293699899388,0.3169866170127389,0.07519293699899388,0.3169866170127389
2012,Arizona,0.051891578689628126,0.2907366145861525,0.051891578689628126,0.2907366145861525
2013,Arizona,-0.07398954509588906,0.3811212327770077,-0.07398954509588906,0.3811212327770077
2014,Arizona,-0.0618101328139562,0.5811236155022872,-0.0618101328139562,0.5811236155022872
2015,Arizona,-0.09034250104024066,0.5077981777911889,-0.09034250104024066,0.5077981777911889
2016,Arizona,-0.08202730720260787,0.5348429120193023,-0.08202730720260787,0.5348429120193023
2017,Arizona,-0.056498820920723,0.576100470268903,-0.056498820920723,0.576100470268903
2018,Arizona,-0.05034700889888566,0.6100031127542853,-0.05034700889888566,0.6100031127542853
2019,Arizona,-0.018620361935626772,0.670143356263309,-0.018620361935626772,0.670143356263309
2020,Arizona,0.006230828990140491,0.6787915785411862,0.006230828990140491,0.6787915785411862
2003,Arkansas,0.019014673235398405,0.009296447064003566,0.019014673235398405,0.009296447064003566
2004,Arkansas,0.037937909875232156,0.05594629527452133,0.037937909875232156,0.05594629527452133
2005,Arkansas,0.10758166727032159,0.18682939100449847,0.10758166727032159,0.18682939100449847
2006,Arkansas,0.10360565685493706,0.26615991302026876,0.10360565685493706,0.26615991302026876
2007,Arkansas,0.12134795828225764,0.29558312271010445,0.12134795828225764,0.29558312271010445
2008,Arkansas,0.1105794488057299,0.30055212258726516,0.1105794488057299,0.30055212258726516
2009,Arkansas,0.11522686867300735,0.30049214645956046,0.11522686867300735,0.30049214645956046
2010,Arkansas,0.13044871819292303,0.3877819939706064,0.13044871819292303,0.3877819939706064
2011,Arkansas,0.1349139403015418,0.39524947793806464,0.1349139403015418,0.39524947793806464
2012,Arkansas,0.09822881923392468,0.3515248693088524,0.09822881923392468,0.3515248693088524
2013,Arkansas,0.08230647533662916,0.32907267448854416,0.08230647533662916,0.32907267448854416
2014,Arkansas,0.071088124235968,0.3946625650143911,0.071088124235968,0.3946625650143911
2015,Arkansas,0.07284485904494531,0.3615101804612102,0.07284485904494531,0.3615101804612102
2016,Arkansas,0.07051186662129805,0.3609451452479333,0.07051186662129805,0.3609451452479333
2017,Arkansas,0.06261273023709113,0.3436639776792578,0.06261273023709113,0.3436639776792578
2018,Arkansas,0.05975362299554421,0.33833501024338464,0.05975362299554421,0.33833501024338464
2019,Arkansas,0.058463261748204376,0.33601067827674136,0.058463261748204376,0.33601067827674136
2020,Arkansas,0.0586010143475868,0.347170025712054,0.0586010143475868,0.347170025712054
2003,California,0.006422332862269675,0.11967849430742494,0.006422332862269675,0.11967849430742494
2004,California,-0.032606036223276846,0.16321294872389314,-0.032606036223276846,0.16321294872389314
2005,California,-0.043552874666125674,0.26817286226212644,-0.043552874666125674,0.26817286226212644
2006,California,-0.03636134528077006,0.2663422812937002,-0.03636134528077006,0.2663422812937002
2007,California,0.015295210468696308,0.2855725265025717,0.015295210468696308,0.2855725265025717
2008,California,0.03866743093523084,0.37155909398615816,0.03866743093523084,0.37155909398615816
2009,California,0.02345178731536013,0.32229338993819967,0.02345178731536013,0.32229338993819967
2010,California,-0.02838482354030558,0.3346353123590746,-0.02838482354030558,0.3346353123590746
2011,California,-0.08566236193038823,0.3105130641085536,-0.08566236193038823,0.3105130641085536
2012,California,-0.11744272810739387,0.3188367944846582,-0.11744272810739387,0.3188367944846582
2013,California,-0.1324291857208697,0.2943894392909978,-0.1324291857208697,0.2943894392909978
2014,California,-0.11133070986363502,0.28821113063218085,-0.11133070986363502,0.28821113063218085
