State,Reading Score 2019,Reading Score 2003,Reading Score Pct,Reading Score Pct Rank,Reading Score 2019 Rank
Mississippi,219,205,0.06754357445864101,1,29
California,216,206,0.05275870923064652,2,40
Nevada,218,207,0.051497465448587354,3,38
Hawaii,218,208,0.0445237578483777,4,39
Tennessee,219,212,0.03356302858019089,5,31
Arizona,216,209,0.03336193128066456,6,44
Florida,225,218,0.030721809787881194,7,6
Utah,225,219,0.02680846425621719,8,4
Louisiana,210,205,0.0251238829772944,9,48
Alabama,212,207,0.022429084264437904,10,47
New Mexico,208,203,0.021553724605077207,11,49
Wyoming,227,222,0.02078169917217232,12,3
Pennsylvania,223,219,0.02064486982986624,13,10
Georgia,218,214,0.020531168011565626,14,35
Idaho,223,218,0.019453871279149437,15,11
Rhode Island,220,216,0.017088233392149377,16,24
Massachusetts,231,228,0.015319569972975122,17,1
Oklahoma,216,214,0.012975502319043875,18,41
New Jersey,227,225,0.00940182598291317,19,2
Illinois,218,216,0.008635519497300681,20,33
Kentucky,221,219,0.00860784388918412,21,22
Nebraska,222,221,0.007933845787034155,22,13
Arkansas,215,214,0.006735940730837164,23,45
Indiana,222,220,0.006381390748458005,24,17
Texas,216,215,0.005758630963464961,25,42
South Carolina,216,215,0.00546535343006771,26,43
Colorado,225,224,0.005371522080291236,27,5
Maryland,220,219,0.005328027408861846,28,25
Virginia,224,223,0.0013495095379072453,29,9
Oregon,218,218,4.742331048712689e-4,30,36
Ohio,222,222,4.6649821648947487e-4,31,15
North Carolina,221,221,2.6851025627827596e-4,32,19
Minnesota,222,223,-9.694127371310257e-4,33,12
South Dakota,222,222,-0.0012088726846061215,34,14
North Dakota,221,222,-0.0020988782822044527,35,21
Michigan,218,219,-0.0023863163201457427,36,32
Kansas,219,220,-0.004586105771152593,37,30
Montana,222,223,-0.004791994487006512,38,18
Wisconsin,220,221,-0.005112904116859274,39,26
Washington,220,221,-0.006349710330366687,40,27
New York,220,222,-0.011629780519397559,41,28
Maine,221,224,-0.011717170814729783,42,20
Iowa,221,223,-0.012398380265067788,43,23
New Hampshire,224,228,-0.01547700837834931,44,8
Connecticut,224,228,-0.01747739998931419,45,7
Vermont,222,226,-0.018997734405853173,46,16
Missouri,218,222,-0.019160425483284893,47,34
West Virginia,213,219,-0.027352010566681573,48,46
Delaware,218,224,-0.02787493167471089,49,37
Alaska,204,212,-0.03391016283836412,50,50
United States,220,218,0.010254485736096886,NA,NA
