State,Math Score 2019,Math Score 2003,Math Score Pct,Math Score Pct Rank,Math Score 2019 Rank
Mississippi,274,261,0.049123861349367415,1,46
Tennessee,280,268,0.04438619904786312,2,30
New Jersey,292,281,0.03701292540237944,3,2
Georgia,279,270,0.036405403501225564,4,34
Hawaii,275,266,0.036144773276192366,5,42
Arkansas,274,266,0.03232700559427726,6,43
Arizona,280,271,0.0322836637566406,7,31
California,276,267,0.03205173572689701,8,41
Massachusetts,294,287,0.027760297947059476,9,1
Florida,279,271,0.02635427817585856,10,35
Alabama,269,262,0.025826241987638276,11,50
Pennsylvania,285,279,0.023286605983101838,12,16
Idaho,286,280,0.021443220012338227,13,11
Nevada,274,268,0.021423047263667616,14,45
New Mexico,269,263,0.020863142389512923,15,49
Louisiana,272,266,0.019961446094370672,16,48
Illinois,283,277,0.019496673583246693,17,22
Virginia,287,282,0.019112698747428825,18,7
Oklahoma,276,272,0.016774228664990787,19,38
Wisconsin,289,284,0.01670952560247585,20,4
Washington,286,281,0.016559405359532153,21,12
Indiana,286,281,0.0157470515171525,22,14
Utah,285,281,0.015268377817701628,23,18
Ohio,286,282,0.0145802328277711,24,13
Kentucky,278,274,0.013934376919809477,25,36
Michigan,280,276,0.01389261179293011,26,28
Rhode Island,276,272,0.013505211605790768,27,40
Nebraska,285,282,0.009988525616083654,28,17
Wyoming,286,284,0.009914170311245085,29,9
Texas,280,277,0.009379085415549326,30,32
Maryland,280,278,0.008748862597451224,31,29
North Carolina,284,281,0.00859940463745601,32,21
Connecticut,286,284,0.008561314320878477,33,10
South Dakota,287,285,0.007744267181780895,34,6
Missouri,281,279,0.00716621772430881,35,26
West Virginia,272,271,0.005831139592806345,36,47
Colorado,285,283,0.004467538626513168,37,19
New Hampshire,287,286,0.003579333923832362,38,5
Vermont,287,286,0.0033531060867033613,39,8
New York,280,280,0.0023585403073396183,40,27
Maine,282,282,0.0016487894097207967,41,23
Minnesota,291,291,3.612218380275589e-4,42,3
Delaware,277,277,-0.0016441861404885572,43,37
South Carolina,276,277,-0.0034273300723691724,44,39
Oregon,280,281,-0.004955988500938813,45,33
North Dakota,286,287,-0.005503498933986606,46,15
Montana,284,286,-0.006884600318961431,47,20
Kansas,282,284,-0.006965031628365592,48,24
Iowa,282,284,-0.008042167497261166,49,25
Alaska,274,279,-0.016798847128806638,50,44
Puerto Rico,222,NA,NA,51,51
United States,282,278,0.015990941168756212,NA,NA
